COD,Horário Inicial,Horário final,TEMPO,TEMPO (MIN),TEMPO(ROT),Qtd peças conformes,Qtd peças não conformes,Observações,Data,Turno,Digitador
180,12:00,13:10,01:10:00,70,#N/A,,,Almoço,6/2/2020,T1,Willian Zomer
192,13:10,13:25,00:15:00,15,#N/A,,,Setup,6/2/2020,T1,Willian Zomer
2008164,13:25,15:55,02:30:00,150,42,8,,Continação barrote 2 lado,6/2/2020,T1,Willian Zomer
192,13:55,14:25,00:30:00,30,#N/A,,,Setup Tampa Lateral Inf,6/2/2020,T1,Willian Zomer
2035284,14:25,15:20,00:55:00,55,48,1,,Tampa Lateral Inferior,6/2/2020,T1,Willian Zomer
192,15:20,15:35,00:15:00,15,#N/A,,,Setup Frontal,6/2/2020,T1,Willian Zomer
2049980,15:35,16:00,00:25:00,25,12,1,,Frontal,6/2/2020,T1,Willian Zomer
192,16:00,17:00,01:00:00,60,#N/A,,,Retira Gabarito Para Melhorias,6/2/2020,T1,Willian Zomer
120,17:00,17:10,00:10:00,10,#N/A,,,,6/2/2020,T1,Willian Zomer
120,17:00,18:00,01:00:00,60,#N/A,,,Limpeza Robo,6/2/2020,T2,Willian Zomer
192,18:00,18:19,00:19:00,19,#N/A,,,,6/2/2020,T2,Willian Zomer
2050430,18:19,18:38,00:19:00,19,12,1,,Frontal,6/2/2020,T2,Willian Zomer
202,18:38,20:30,01:52:00,112,#N/A,,,,6/2/2020,T2,Willian Zomer
180,20:30,21:30,01:00:00,60,#N/A,,,,6/2/2020,T2,Willian Zomer
192,21:30,21:49,00:19:00,19,#N/A,,,,6/2/2020,T2,Willian Zomer
2050430,21:49,22:08,00:19:00,19,12,1,,Frontal,6/2/2020,T2,Willian Zomer
192,22:50,23:10,00:20:00,20,#N/A,,,,6/2/2020,T2,Willian Zomer
2050430,23:10,23:29,00:19:00,19,12,1,,,6/2/2020,T2,Willian Zomer
201,22:08,22:50,00:42:00,42,#N/A,,,,6/2/2020,T2,Willian Zomer
201,23:29,01:40,02:11:00,131,#N/A,,,,6/2/2020,T2,Willian Zomer
192,01:40,01:58,00:18:00,18,#N/A,,,,6/2/2020,T2,Willian Zomer
2049165,01:58,02:17,00:19:00,19,45,1,,Frontal,6/2/2020,T2,Willian Zomer
11,07:00,07:30,00:30:00,30,#N/A,,,Falta,10/2/2020,T1,Willian Zomer
192,07:30,08:30,01:00:00,60,#N/A,,,Setup Barrote,10/2/2020,T1,Willian Zomer
2008164,08:30,09:15,00:45:00,45,42,8,,Barrote,10/2/2020,T1,Willian Zomer
2050430,09:15,09:40,00:25:00,25,12,1,,Frontal,10/2/2020,T1,Willian Zomer
2008164,09:40,10:10,00:30:00,30,42,8,,Solda 2 lado barrote,10/2/2020,T1,Willian Zomer
201,10:10,10:30,00:20:00,20,#N/A,,,Montagem Barrote,10/2/2020,T1,Willian Zomer
2008164,10:30,11:45,01:15:00,75,42,8,,Barrote e Setup,10/2/2020,T1,Willian Zomer
180,11:45,12:55,01:10:00,70,#N/A,,,Almoço,10/2/2020,T1,Willian Zomer
192,12:55,13:15,00:20:00,20,#N/A,,,Setup,10/2/2020,T1,Willian Zomer
2050430,13:15,14:00,00:45:00,45,12,1,,Frontal,10/2/2020,T1,Willian Zomer
10,14:00,14:10,00:10:00,10,#N/A,,,Montagem,10/2/2020,T1,Willian Zomer
192,14:10,14:20,00:10:00,10,#N/A,,,Setup Frontal,10/2/2020,T1,Willian Zomer
2050430,14:20,14:50,00:30:00,30,12,1,,Frontal,10/2/2020,T1,Willian Zomer
40,14:50,15:15,00:25:00,25,#N/A,,,Retirada frontal Gabarito,10/2/2020,T1,Willian Zomer
192,15:15,15:40,00:25:00,25,#N/A,,,Setup Barrote menor,10/2/2020,T1,Willian Zomer
2034335,15:40,17:00,01:20:00,80,64,8,,Barrote menor,10/2/2020,T1,Willian Zomer
192,20:01,20:30,00:29:00,29,#N/A,,,,10/2/2020,T2,Willian Zomer
2008164,21:35,22:00,00:25:00,25,21,4,,,10/2/2020,T2,Willian Zomer
192,22:20,22:39,00:19:00,19,#N/A,,,,10/2/2020,T2,Willian Zomer
2050430,22:39,22:58,00:19:00,19,12,1,,,10/2/2020,T2,Willian Zomer
192,22:59,23:18,00:19:00,19,#N/A,,,,10/2/2020,T2,Willian Zomer
2008164,23:19,00:01,00:42:00,42,21,4,,,10/2/2020,T2,Willian Zomer
192,00:01,00:20,00:19:00,19,#N/A,,,,10/2/2020,T2,Willian Zomer
2050430,00:20,00:41,00:21:00,21,12,1,,,10/2/2020,T2,Willian Zomer
182,07:00,07:30,00:30:00,30,#N/A,,,Terça qualidade,11/2/2020,T1,Willian Zomer
192,07:30,08:00,00:30:00,30,#N/A,,,Setup Frontal,11/2/2020,T1,Willian Zomer
2050430,08:00,08:30,00:30:00,30,12,1,,Frontal Premium,11/2/2020,T1,Willian Zomer
2008164,08:30,08:55,00:25:00,25,42,8,,Montagem barrote 8Pcs Montados,11/2/2020,T1,Willian Zomer
2008164,08:55,10:00,01:05:00,65,42,8,,Soldados 8Pcs soldados,11/2/2020,T1,Willian Zomer
181,10:00,10:10,00:10:00,10,#N/A,8,,8Pcs Montados  retrabalho 3 Pcs,11/2/2020,T1,Willian Zomer
40,10:10,10:20,00:10:00,10,#N/A,,,retirada Pcs gabatiro,11/2/2020,T1,Willian Zomer
160,10:20,10:35,00:15:00,15,#N/A,,,Indisponivel,11/2/2020,T1,Willian Zomer
10,10:35,10:45,00:10:00,10,#N/A,,,Montagem Pcs gabarito,11/2/2020,T1,Willian Zomer
192,10:45,11:00,00:15:00,15,#N/A,,,Setup Frontal,11/2/2020,T1,Willian Zomer
2050430,11:00,11:35,00:35:00,35,12,1,,Setup Frontal Premiun,11/2/2020,T1,Willian Zomer
180,11:35,12:55,01:20:00,80,#N/A,,,Almoço,11/2/2020,T1,Willian Zomer
40,12:55,13:20,00:25:00,25,#N/A,,,Retirada peças gabarito,11/2/2020,T1,Willian Zomer
192,13:20,13:55,00:35:00,35,#N/A,,,tampa lateral inferior,11/2/2020,T1,Willian Zomer
2047860,13:55,14:50,00:55:00,55,47,1,,tampa lateral inferior,11/2/2020,T1,Willian Zomer
192,14:50,15:00,00:10:00,10,#N/A,,,Setup frontal P,11/2/2020,T1,Willian Zomer
2050430,15:00,15:20,00:20:00,20,12,1,,Frontal Premiun,11/2/2020,T1,Willian Zomer
192,15:20,15:50,00:30:00,30,#N/A,,,Porta lateral inferior,11/2/2020,T1,Willian Zomer
2047860,15:50,16:30,00:40:00,40,47,1,,Porta lateral inferior,11/2/2020,T1,Willian Zomer
192,16:30,16:40,00:10:00,10,#N/A,,,Setup Frontal Premium,11/2/2020,T1,Willian Zomer
2050430,16:40,17:00,00:20:00,20,12,1,,Frontal Premium,11/2/2020,T1,Willian Zomer
160,17:00,18:45,01:45:00,105,#N/A,,,,11/2/2020,T2,Willian Zomer
192,18:45,19:04,00:19:00,19,#N/A,,,,11/2/2020,T2,Willian Zomer
2039233,19:04,19:48,00:44:00,44,47,1,,Porta Lateral,11/2/2020,T2,Willian Zomer
191,19:48,20:30,00:42:00,42,#N/A,,,Sem peças para soldar,11/2/2020,T2,Willian Zomer
180,20:30,21:30,01:00:00,60,#N/A,,,tampa,11/2/2020,T2,Willian Zomer
192,21:30,21:49,00:19:00,19,#N/A,,,,11/2/2020,T2,Willian Zomer
2050430,21:49,22:08,00:19:00,19,12,1,,Frontal,11/2/2020,T2,Willian Zomer
191,22:08,23:40,01:32:00,92,#N/A,,,Sem peças para soldar,11/2/2020,T2,Willian Zomer
192,23:40,01:40,02:00:00,120,#N/A,,,,11/2/2020,T2,Willian Zomer
2039233,01:40,01:49,00:09:00,9,47,1,,Porta lateral,11/2/2020,T2,Willian Zomer
120,01:49,02:15,00:26:00,26,#N/A,,,Limpeza,11/2/2020,T2,Willian Zomer
10,07:00,07:15,00:15:00,15,#N/A,,,pes gabarito frontal,12/2/2020,T1,Willian Zomer
192,07:15,07:30,00:15:00,15,#N/A,,,Setup frontal,12/2/2020,T1,Willian Zomer
2050430,07:30,08:05,00:35:00,35,12,1,,Solda frontal,12/2/2020,T1,Willian Zomer
2008164,08:05,08:55,00:50:00,50,42,8,,Pes soldadas de um lado,12/2/2020,T1,Willian Zomer
192,08:55,09:00,00:05:00,5,#N/A,,,Setup frontal,12/2/2020,T1,Willian Zomer
2050430,09:00,09:20,00:20:00,20,12,1,,frontal soldado,12/2/2020,T1,Willian Zomer
2008164,09:20,09:50,00:30:00,30,42,8,,solda 2 lado barrote,12/2/2020,T1,Willian Zomer
181,09:50,10:05,00:15:00,15,#N/A,,,,12/2/2020,T1,Willian Zomer
192,10:05,10:45,00:40:00,40,#N/A,,,Setup porta lateral inferior,12/2/2020,T1,Willian Zomer
